"production","date","capacity","gross","nominations","wins","type","year"
"110-in-the-shade-423558",2007-06-17,91,361312,5,0,"Musical","2007"
"110-in-the-shade-423558",2007-06-03,88,344604,5,0,"Musical","2007"
"110-in-the-shade-423558",2007-07-01,88,352681,5,0,"Musical","2007"
"110-in-the-shade-423558",2007-07-15,93,410515,5,0,"Musical","2007"
"110-in-the-shade-423558",2007-06-10,90,361440,5,0,"Musical","2007"
"110-in-the-shade-423558",2007-04-29,81,302978,5,0,"Musical","2007"
"110-in-the-shade-423558",2007-07-08,84,338931,5,0,"Musical","2007"
"110-in-the-shade-423558",2007-04-15,77,197785,5,0,"Musical","2007"
"110-in-the-shade-423558",2007-07-22,80,323984,5,0,"Musical","2007"
"110-in-the-shade-423558",2007-05-27,86,351224,5,0,"Musical","2007"
"110-in-the-shade-423558",2007-05-06,83,203869,5,0,"Musical","2007"
"110-in-the-shade-423558",2007-06-24,85,349945,5,0,"Musical","2007"
"110-in-the-shade-423558",2007-04-22,76,262544,5,0,"Musical","2007"
"110-in-the-shade-423558",2007-05-13,74,297228,5,0,"Musical","2007"
"110-in-the-shade-423558",2007-05-20,85,349113,5,0,"Musical","2007"
"110-in-the-shade-423558",2007-07-29,90,361161,5,0,"Musical","2007"
"1776-4754",1998-06-07,60,284019,3,0,"Musical","1998"
"1776-4754",1998-06-14,89,438896,3,0,"Musical","1998"
"1776-4754",1997-07-20,98,150045,3,0,"Musical","1998"
"1776-4754",1997-07-27,100,174787,3,0,"Musical","1998"
"1776-4754",1997-08-03,100,171818,3,0,"Musical","1998"
"1776-4754",1997-08-10,98,162952,3,0,"Musical","1998"
"1776-4754",1997-08-17,87,150195,3,0,"Musical","1998"
"1776-4754",1997-08-24,99,169771,3,0,"Musical","1998"
"1776-4754",1997-08-31,100,188482,3,0,"Musical","1998"
"1776-4754",1997-09-07,99,169175,3,0,"Musical","1998"
"1776-4754",1997-09-14,100,170616,3,0,"Musical","1998"
"1776-4754",1997-09-21,98,164297,3,0,"Musical","1998"
"1776-4754",1997-09-28,97,181907,3,0,"Musical","1998"
"1776-4754",1997-10-05,95,190666,3,0,"Musical","1998"
"1776-4754",1997-10-12,99,190793,3,0,"Musical","1998"
"1776-4754",1997-10-19,98,186468,3,0,"Musical","1998"
"1776-4754",1997-10-26,97,201666,3,0,"Musical","1998"
"1776-4754",1997-11-02,98,213452,3,0,"Musical","1998"
"1776-4754",1997-11-09,98,216314,3,0,"Musical","1998"
"1776-4754",1997-11-16,99,215808,3,0,"Musical","1998"
"1776-4754",1997-12-07,75,363216,3,0,"Musical","1998"
"1776-4754",1997-12-14,78,362391,3,0,"Musical","1998"
"1776-4754",1997-12-21,84,381399,3,0,"Musical","1998"
"1776-4754",1997-12-28,75,587629,3,0,"Musical","1998"
"1776-4754",1998-01-04,72,537899,3,0,"Musical","1998"
"1776-4754",1998-01-11,73,366108,3,0,"Musical","1998"
"1776-4754",1998-01-18,88,421761,3,0,"Musical","1998"
"1776-4754",1998-01-25,68,350242,3,0,"Musical","1998"
"1776-4754",1998-02-01,71,375979,3,0,"Musical","1998"
"1776-4754",1998-02-08,53,282785,3,0,"Musical","1998"
"1776-4754",1998-02-15,79,492734,3,0,"Musical","1998"
"1776-4754",1998-02-22,67,415343,3,0,"Musical","1998"
"1776-4754",1998-03-01,62,346793,3,0,"Musical","1998"
"1776-4754",1998-03-08,61,361043,3,0,"Musical","1998"
"1776-4754",1998-03-15,67,377388,3,0,"Musical","1998"
"1776-4754",1998-03-22,69,416406,3,0,"Musical","1998"
"1776-4754",1998-03-29,66,391505,3,0,"Musical","1998"
"1776-4754",1998-04-05,57,308216,3,0,"Musical","1998"
"1776-4754",1998-04-12,54,305656,3,0,"Musical","1998"
"1776-4754",1998-04-19,71,427784,3,0,"Musical","1998"
"1776-4754",1998-04-26,62,352927,3,0,"Musical","1998"
"1776-4754",1998-05-03,58,341207,3,0,"Musical","1998"
"1776-4754",1998-05-10,50,272014,3,0,"Musical","1998"
"1776-4754",1998-05-17,57,287177,3,0,"Musical","1998"
"1776-4754",1998-05-24,61,314051,3,0,"Musical","1998"
"1776-4754",1998-05-31,54,236009,3,0,"Musical","1998"
