"production","weeks","nominations","wins","year","type"
"110-in-the-shade-423558",16,5,0,"2007","Musical"
"1776-4754",46,3,0,"1998","Musical"
"1984-513416",21,1,0,"2018","Play"
"33-variations-482128",15,5,1,"2009","Play"
"42nd-street-12864",196,8,2,"2001","Musical"
"42nd-street-3963",438,8,2,"1981","Musical"
"700-sundays-383054",29,1,1,"2005","Play"
"a-beautiful-noise-the-neil-diamond-musical-534723",51,2,0,"2023","Musical"
"a-behanding-in-spokane-485319",16,1,0,"2010","Play"
"a-bronx-tale-the-musical-508538",91,1,0,"2017","Musical"
"a-catered-affair-466360",18,3,0,"2008","Musical"
"a-change-in-the-heir-4563",5,0,0,"1990","Musical"
"a-chorus-line-402597",98,2,0,"2007","Musical"
"a-class-act-12818",17,5,0,"2001","Musical"
"a-day-in-hollywood--a-night-in-the-ukraine-3950",69,9,2,"1980","Musical"
"a-day-in-the-death-of-joe-egg-13455",48,4,0,"2003","Play"
"a-day-in-the-death-of-joe-egg-4365",52,4,2,"1985","Play"
"a-delicate-balance-4676",27,6,3,"1996","Play"
"a-dolls-house-4742",23,4,4,"1997","Play"
"a-dolls-house-535893",17,6,0,"2023","Play"
"a-dolls-house-part-2-510743",26,7,1,"2017","Play"
"a-few-good-men-4255",65,1,0,"1990","Play"
"a-funny-thing-happened-on-the-way-to-the-forum-4675",94,4,1,"1996","Musical"
"a-little-night-music-485016",56,4,1,"2010","Musical"
"a-midsummer-nights-dream-4272",10,2,0,"1996","Play"
"a-month-in-the-country-4295",10,1,0,"1995","Play"
"a-moon-for-the-misbegotten-12486",17,4,1,"2000","Play"
"a-moon-for-the-misbegotten-4466",9,4,0,"1984","Play"
"a-moon-for-the-misbegotten-453966",11,1,0,"2007","Play"
"a-raisin-in-the-sun-13596",15,4,2,"2004","Play"
"a-raisin-in-the-sun-495163",15,5,3,"2014","Play"
"a-small-family-business-4685",10,1,0,"1992","Play"
"a-strange-loop-533382",40,11,2,"2022","Musical"
"a-streetcar-named-desire-381031",15,3,0,"2005","Play"
"a-streetcar-named-desire-4496",14,2,0,"1988","Play"
"a-streetcar-named-desire-4677",21,1,0,"1992","Play"
"a-streetcar-named-desire-491729",16,1,0,"2012","Play"
"a-view-from-the-bridge-4205",20,2,0,"1983","Play"
"a-view-from-the-bridge-5146",35,4,2,"1998","Play"
"a-walk-in-the-woods-4495",20,2,0,"1988","Play"
"a-woman-of-independent-means-4336",4,0,0,"1985","Play"
"a-year-with-frog-and-toad-13478",11,3,0,"2003","Musical"
"accent-on-youth-480514",12,0,0,"2009","Play"
"accomplice-4562",10,1,1,"1990","Play"
"act-one-494913",13,5,1,"2014","Play"
"after-midnight-494959",37,7,1,"2014","Musical"
"after-the-night-and-the-music-383009",10,0,0,"2006","Play"
"agnes-of-god-4166",77,2,1,"1982","Play"
"ah-wilderness-4512",7,1,0,"1989","Play"
"ah-wilderness-4870",11,2,0,"1998","Play"
"aida-12485",237,5,4,"2000","Musical"
"aint-broadway-grand-4713",7,1,0,"1993","Musical"
"aint-too-proud-520004",67,11,1,"2019","Musical"
"airline-highway-497979",10,4,0,"2015","Play"
"aladdin-495244",421,5,1,"2014","Musical"
"all-my-sons-4456",5,3,1,"1987","Play"
"all-my-sons-519850",13,3,0,"2019","Play"
"all-shook-up-383114",32,1,0,"2005","Musical"
"alls-well-that-ends-well-4217",7,7,0,"1983","Play"
"amadeus-10706",23,2,0,"2000","Play"
"amadeus-4083",149,7,5,"1981","Play"
"american-buffalo-525177",16,4,0,"2022","Play"
"american-idiot-485578",57,3,2,"2010","Musical"
"american-psycho-503809",11,2,0,"2016","Musical"
"amys-view-7302",16,2,1,"1999","Play"
"an-act-of-god-499263",13,1,0,"2016","Play"
"an-act-of-god-506458",15,0,0,"2017","Play"
"an-american-daughter-4744",15,1,1,"1997","Play"
"an-american-in-paris-497695",83,11,4,"2015","Musical"
"an-ideal-husband-4793",40,3,0,"1996","Play"
"an-inspector-calls-4605",59,5,4,"1994","Play"
"anastasia-508711",106,2,0,"2017","Musical"
"angels-in-america-millennium-approaches-4569",85,8,4,"1993","Play"
"angels-in-america-millennium-approaches-515873",21,10,3,"2018","Play"
"ann-493484",19,1,0,"2013","Play"
"annie-4740",32,1,0,"1997","Musical"
"annie-492932",66,1,0,"2013","Musical"
"annie-get-your-gun-6287",135,3,2,"1999","Musical"
"anything-goes-4483",104,10,3,"1988","Musical"
"anything-goes-488371",70,9,3,"2011","Musical"
"arcadia-4291",26,3,0,"1995","Play"
"arcadia-489559",17,2,0,"2011","Play"
"arent-we-all-4371",14,2,0,"1985","Play"
"arms-and-the-man-4374",17,0,0,"1986","Play"
"art-4847",78,3,1,"1998","Play"
"as-is-4372",37,3,0,"1985","Play"
"as-long-as-we-both-shall-laugh-13489",14,0,0,"2003","Special"
"asinamali-4467",5,1,0,"1987","Play"
"aspects-of-love-4559",50,6,0,"1990","Musical"
"assassins-13580",16,7,5,"2004","Musical"
"august-osage-county-467754",84,7,5,"2008","Play"
"avenue-q-13502",321,6,3,"2004","Musical"
"awake-and-sing-407155",14,7,2,"2006","Play"
"baby-4242",34,7,0,"1984","Musical"
"baby-its-you-489611",24,1,0,"2011","Musical"
"bad-cinderella-535361",16,0,0,"2023","Musical"
"bandstand-511287",25,2,1,"2017","Musical"
"barefoot-in-the-park-398479",17,0,0,"2006","Play"
"barnum-3949",102,10,3,"1980","Musical"
"barrymore-4739",34,1,1,"1997","Play"
"be-more-chill-519720",26,1,0,"2019","Musical"
"beautiful-the-carole-king-musical-495178",310,7,2,"2014","Musical"
