production,nominations,wins,type,year
bad-cinderella-535361,0,0,Musical,"Mar 23, 2023"
dancin-4051,7,2,Musical,1978
dancin-535808,1,0,Musical,2023
camelot-13313,2,0,Musical,1981
camelot-4143,0,0,Musical,"Nov 15, 1981"
camelot-4571,0,0,Musical,"Jun 21, 1993"
camelot-534339,5,0,Musical,2023
el-mago-pop-536773,0,0,Special,"Aug 20, 2023"
fat-ham-535958,5,0,Play,2023
good-night-oscar-535325,3,1,Play,2023
grey-house-536446,0,0,Play,"Jun 06, 2023"
here-lies-love-536097,0,0,Musical,"Jul 20, 2023"
i-need-that-537704,0,0,Play,"Nov 02, 2023"
jajas-african-hair-braiding-537669,0,0,Play,"Oct 03, 2023"
life-of-pi-535445,5,3,Play,2023
melissa-etheridge-my-window-537454,0,0,Special,"Sep 28, 2023"
new-york-new-york-535492,9,1,Musical,2023
once-upon-a-one-more-time-535897,0,0,Musical,"Jun 22, 2023"
pal-joey-477922,4,0,Musical,2009
peter-pan-goes-wrong-536073,3,1,Play,2023
pictures-from-home-535460,0,0,Play,"Feb 09, 2023"
prima-facie-535843,4,1,Play,2023
shucked-535831,9,1,Musical,2023
spamalot-384262,12,3,Musical,2005
summer-1976-535224,1,0,Play,2023
the-shark-is-broken-537119,0,0,Play,"Aug 10, 2023"
the-sign-in-sidney-brusteins-window-536893,2,1,Play,2023
the-thanksgiving-play-536114,1,1,Play,2023
1776-4754,3,0,Musical,1998
1776-534848,0,0,Musical,"Oct 06, 2022"
a-beautiful-noise-the-neil-diamond-musical-534723,2,0,Musical,2023
a-strange-loop-533382,11,2,Musical,2022
aint-no-mo-535033,6,0,Play,2023
almost-famous-534816,1,0,Musical,2023
american-buffalo-4235,1,0,Play,1984
american-buffalo-480742,0,0,Play,"Nov 17, 2008"
american-buffalo-525177,4,0,Play,2022
beetlejuice-519779,8,0,Musical,2019
beetlejuice-532410,0,0,Musical,"Apr 08, 2022"
between-riverside-and-crazy-535124,2,0,Play,2023
birthday-candles-522966,1,1,Play,2022
cost-of-living-535065,4,0,Play,2023
death-of-a-salesman-6286,5,4,Play,1999
death-of-a-salesman-491286,7,2,Play,2012
death-of-a-salesman-534795,2,0,Play,2023
funny-girl-532545,1,0,Musical,2022
girl-from-the-north-country-522972,7,1,Musical,2022
girl-from-the-north-country-534369,0,0,Musical,"Apr 29, 2022"
hangmen-525575,0,0,Play,Never Officially Opened
hangmen-534367,5,0,Play,2022
how-i-learned-to-drive-523721,3,0,Play,2022
into-the-woods-4486,10,3,Musical,1988
into-the-woods-13281,10,2,Musical,2002
into-the-woods-534783,6,0,Musical,2023
kimberly-akimbo-534754,8,5,Musical,2023
kpop-534371,3,0,Musical,2023
leopoldstadt-534820,6,4,Play,2023
mj-the-musical-524797,10,4,Musical,2022
ohio-state-murders-535133,1,0,Play,2023
paradise-square-531770,9,1,Musical,2022
plaza-suite-524089,1,0,Play,2022
potus-or-behind-every-great-dumbass-are-seven-women-trying-to-keep-him-alive-533991,2,0,Play,2022
skeleton-crew-531761,3,1,Play,2022
take-me-out-13460,4,3,Play,2003
take-me-out-522075,3,2,Play,2022
take-me-out-535174,0,0,Play,"Nov 11, 2022"
the-collaboration-534990,0,0,Play,"Dec 18, 2022"
the-kite-runner-533392,1,1,Play,2023
the-minutes-525378,1,0,Play,2022
