production,date,capacity,gross
bad-cinderella-535361,"May 28, 2023",69,351163.0
bad-cinderella-535361,"Jun 4, 2023",77,384017.0
bad-cinderella-535361,"Feb 19, 2023",100,318478.0
bad-cinderella-535361,"Feb 26, 2023",93,684822.0
bad-cinderella-535361,"Mar 5, 2023",89,568165.0
bad-cinderella-535361,"Mar 12, 2023",89,592938.0
bad-cinderella-535361,"Mar 19, 2023",89,642196.0
bad-cinderella-535361,"Mar 26, 2023",91,633929.0
bad-cinderella-535361,"Apr 2, 2023",80,631890.0
bad-cinderella-535361,"Apr 9, 2023",85,639391.0
bad-cinderella-535361,"Apr 16, 2023",72,571192.0
bad-cinderella-535361,"Apr 23, 2023",65,539119.0
bad-cinderella-535361,"Apr 30, 2023",65,514980.0
bad-cinderella-535361,"May 7, 2023",54,326303.0
bad-cinderella-535361,"May 14, 2023",63,324003.0
bad-cinderella-535361,"May 21, 2023",68,384528.0
dancin-4051,"Jun 6, 1982",42,86383.0
dancin-4051,"Jun 13, 1982",49,99551.0
dancin-4051,"Jun 20, 1982",52,101681.0
dancin-4051,"Jun 27, 1982",54,108673.0
dancin-4051,"Jun 7, 1981",79,135721.0
dancin-4051,"Jun 14, 1981",83,140743.0
dancin-4051,"Jun 21, 1981",81,137496.0
dancin-4051,"Jun 28, 1981",71,125584.0
dancin-4051,"Jul 5, 1981",55,84252.0
dancin-4051,"Jul 12, 1981",61,107219.0
dancin-4051,"Jul 19, 1981",79,133859.0
dancin-4051,"Jul 26, 1981",88,147960.0
dancin-4051,"Aug 2, 1981",84,146520.0
dancin-4051,"Aug 9, 1981",85,147636.0
dancin-4051,"Aug 16, 1981",86,151983.0
dancin-4051,"Aug 23, 1981",83,146534.0
dancin-4051,"Aug 30, 1981",83,144518.0
dancin-4051,"Sep 6, 1981",78,137638.0
dancin-4051,"Sep 13, 1981",55,95394.0
dancin-4051,"Sep 20, 1981",70,134811.0
dancin-4051,"Sep 27, 1981",65,123080.0
dancin-4051,"Oct 4, 1981",73,132407.0
dancin-4051,"Oct 11, 1981",78,142973.0
dancin-4051,"Oct 18, 1981",83,154917.0
dancin-4051,"Oct 25, 1981",77,147615.0
dancin-4051,"Nov 1, 1981",60,113305.0
dancin-4051,"Nov 8, 1981",75,139680.0
dancin-4051,"Nov 15, 1981",87,154077.0
dancin-4051,"Nov 22, 1981",77,133931.0
dancin-4051,"Nov 29, 1981",78,152122.0
dancin-4051,"Dec 6, 1981",62,113108.0
dancin-4051,"Dec 13, 1981",62,110688.0
dancin-4051,"Dec 20, 1981",51,89420.0
dancin-4051,"Dec 27, 1981",61,113199.0
dancin-4051,"Jan 3, 1982",88,184475.0
dancin-4051,"Jan 10, 1982",66,126094.0
dancin-4051,"Jan 17, 1982",60,118109.0
dancin-4051,"Jan 24, 1982",48,92259.0
dancin-4051,"Jan 31, 1982",56,102957.0
dancin-4051,"Feb 7, 1982",50,91332.0
dancin-4051,"Feb 14, 1982",62,118618.0
dancin-4051,"Feb 21, 1982",72,136749.0
dancin-4051,"Feb 28, 1982",72,130207.0
dancin-4051,"Mar 7, 1982",48,96229.0
dancin-4051,"Mar 14, 1982",53,102528.0
